mobbing_context,location_num,call_num,Delta_Time_s,Low_Freq_Hz,High_Freq_Hz,Delta_Freq_Hz,Avg_Entropy_bits,BW_90percent_Hz,Center_Freq_Hz,Center_Time_Rel,Dur_90percent_s,Peak_Freq_Hz,Peak_Time_Relative,Time_5percent_Rel,Time_95percent_Rel,Avg_Power_Density_dB_FSperHz
non-breeding,nb_mb_1,1,0.2573,1386.3,9513.9,8127.6,3.642,2343.75,1968.75,0.3542,0.2293,1875,0.2917,0.0208,0.9167,-78.17
non-breeding,nb_mb_1,1,0.2629,1386.3,8664.4,7278.1,3.472,2718.75,1687.5,0.9167,0.224,1687.5,0.9792,0.125,1,-69.6
non-breeding,nb_mb_1,2,0.3726,856.1,15546.4,14690.3,3.703,2906.25,1781.25,0.3676,0.288,1875,0.2059,0.0588,0.8529,-64.68
non-breeding,nb_mb_1,2,0.2339,428.1,16426.4,15998.3,2.879,562.5,1687.5,0.4419,0.1387,1687.5,0.5349,0.1628,0.7674,-60.06
non-breeding,nb_mb_1,3,0.3737,1137.5,14950.3,13812.8,3.749,2156.25,1781.25,0.3768,0.288,1781.25,0.1884,0.087,0.8696,-68.1
non-breeding,nb_mb_1,3,0.3161,1137.5,14950.3,13812.8,3.159,1687.5,1687.5,0.4655,0.2507,1593.75,0.5,0.0862,0.8966,-61.88
non-breeding,nb_mb_1,4,0.3611,1138.7,11765.6,10626.9,3.072,1125,1593.75,0.194,0.2613,1500,0.1343,0.0149,0.7463,-64.54
non-breeding,nb_mb_1,5,0.2864,915.9,17600,16684.1,3.087,937.5,1687.5,0.4717,0.2133,1593.75,0.5849,0.1132,0.8679,-57.93
non-breeding,nb_mb_1,5,0.2675,891.2,13369.2,12478,3.431,1875,1687.5,0.4286,0.2133,1593.75,0.5102,0.0816,0.898,-53.39
non-breeding,nb_mb_1,4,0.3932,1163.5,11531.2,10367.7,2.949,656.25,1687.5,0.137,0.2987,1593.75,0,0,0.7671,-69.69
non-breeding,nb_mb_1,6,0.384,363,13760,13397,3.313,1875,1687.5,0.3099,0.288,1687.5,0.1408,0.0986,0.8592,-54.05
non-breeding,nb_mb_1,6,0.3022,414.8,11875.6,11460.8,2.919,843.75,1593.75,0.3636,0.208,1687.5,0.1636,0.0727,0.7818,-61.38
non-breeding,nb_mb_1,7,0.301,1017,16852.5,15835.5,2.745,843.75,1687.5,0.3818,0.24,1687.5,0.3818,0.0545,0.8727,-59.88
non-breeding,nb_mb_1,6,0.3171,414.8,9230,8815.2,3.359,1500,1687.5,0.1864,0.2347,1593.75,0.0678,0,0.7458,-64.56
non-breeding,nb_mb_1,8,0.2793,1015,17289,16274,2.818,656.25,1687.5,0.3654,0.1653,1687.5,0.4808,0.1154,0.7115,-59.16
non-breeding,nb_mb_1,8,0.2831,990.2,15763.5,14773.3,2.821,750,1687.5,0.3269,0.1813,1687.5,0.3846,0.0769,0.7308,-56.03
non-breeding,nb_mb_1,9,0.4487,1071.4,9575.7,8504.3,3.189,843.75,1593.75,0.4096,0.336,1687.5,0.253,0.0964,0.8554,-73.63
