recording_number,date,time,weather,general_location,gps,park_or_lot,owl_ground_or_elevated,recording_duration_from_start_of_distress_call_sec,closest_approach_m,total_number_crows,largest_number_crows_5m,time_within_5m_sec,movements,recordist_to_owl_m,avg_distance_to_calling_crows_m,number_of_calls_60_sec_from_end_of_last_distress_call,field_notes
1,6/24/2024,11:31,"cloudy, warm, windy",Paramount park,"N 47.74107, W 122.31842",park,elevated,226,1.8,5,2,13.76,4,13.5,18.25,44,some behavioral observations may have gone for slightly past 3 minutes. we can correct this by the duration of the recording as necessary.
2,6/24/2024,13:24,"partly sunny, warm",Shoreline Fred Meyer,"N 47.76237, W 122.34658",lot,elevated,347,0.9,6,6,180,3,14.9,11.6,1,experimented with recording a second time and found when they were around playing it again elicited a stronger mobbing response
3,6/26/2024,12:25,"partly cloudy, windy",AMC woodinville,N 47.75518. W 122.15414,lot,elevated,204,5,9,2,1.48,8,14.3,15.8,84,Crows stayed elevated and in the trees for the most part
4,6/26/2024,13:27,"windy, cloudy",cottage lake,"N 47.75534, W 122.08637",park,elevated,199,5.7,3,2,12.66,8,29,33,21,"There were a lot of children in the area, especially near the end of the recording."
5,6/26/2024,13:30,"sunny, windy, cold, mostly cloudy",Rose hill meadows park,"N 47.67802, W 122.17512",park,elevated,167,13.1,2,2,57.64,4,14.5,25.775,7,"there were two crows in the area at the beginning of the study, one crow was much more vocal and stood on a branch to call"
6,6/26/2024,15:24,"cloudy, windy, slightly warm",mill creek parking lot ,"N 47.85884, W 122.22109",lot,elevated,143,3,4,3,2.59,7,15,17.26,7,"There were 3 crows spotted at the beginning on top of the dumpster, they all moved directly above the owl on a light post and called, felt passive- after the recording stopped, they just stuck to trees and observed the rest of the time, time may be off as light post was before was later found to be within 5 m."
7,6/27/2024,12:16,"overcast, rainy",lake forest park town center,"N 47.75315, W 122.27888",lot,elevated,193,4,12,3,7.08,9,14.4,28.1,71,crows stayed elevated and in the trees for the most part
8,6/27/2024,12:28,"rainy, cloudy, wet, cold",Matthews beach park ,"N 47.69670, W 122.27358",park,ground,229,4.5,6,2,167,7,16,12.3,33,there were 2 main crows calling in the branches above the owl for the whole 3 minutes
9,6/27/2024,12:50,"overcast, rainy",Lake ballinger park,"N 47.78508, W 122.32651",park,elevated,197,2,5,2,94,4,18.2,19.5,6,N/A
10,6/27/2024,13:08,"rainy, cloudy",North Hale high school,"N 47.70668, W 122.29379",lot,elevated,196,6,8,2,141,9,17.5,22.8,39,N/A
11,7/3/2024,12:18,"Sunny,partly cloudy a bit windy warm",Licton springs park,"N 47.69847, W 122.33764",park,ground,133,4,5,2,38.79,1,12.6,31.1,50,"2 crows flying around, then they met with 3 crows in the treeline and called mostly from there. There was a girl that walked right through the test, she might have caused a small spook or changed their behavior"
12,7/3/2024,12:50,"Sunny, Warm",Fred meyers Greenwood,"N 47.69136, W 122.35784",lot,Elevated,174,3.5,8,6,102,5,13,16.25,18,There are lots of cars and people walking by that will ppresent in the audio (lots of background noise). All of the crows most observed from the landline/wires
